topology,graph_name,method,base_method,lambda,n,m,density,avg_degree,max_degree,min_cardinality,max_cardinality,avg_cardinality,family,cardinality_mode,induced_width,max_clique_size,total_fill_edges,peak_factor_entries,peak_factor_log10,final_edge_count,ve_status,ve_runtime,ve_max_observed_entries,ve_factor_ops,ordering_time,total_runtime,status,p,seed,rows,cols,attachment_m,source,layers,max_parents
low_treewidth,chain_n25,min_degree,min_degree,,25,24,0.08,1.92,2,2,5,2.76,chain,mixed,1,2,0,16,1.2041199826559248,24,ok,0.0004614589997800067,16,73,0.000254084006883204,0.0007155430066632107,ok,,,,,,,,
low_treewidth,chain_n25,min_fill,min_fill,,25,24,0.08,1.92,2,2,5,2.76,chain,mixed,1,2,0,16,1.2041199826559248,24,ok,0.00040249999437946826,16,73,0.0003856249968521297,0.000788124991231598,ok,,,,,,,,
low_treewidth,chain_n25,weighted_min_fill,weighted_min_fill,,25,24,0.08,1.92,2,2,5,2.76,chain,mixed,1,2,0,16,1.2041199826559248,24,ok,0.0003923330077668652,16,73,0.0004284169990569353,0.0008207500068238005,ok,,,,,,,,
low_treewidth,chain_n25,hybrid_lam0,hybrid,0.0,25,24,0.08,1.92,2,2,5,2.76,chain,mixed,1,2,0,16,1.2041199826559248,24,ok,0.0003884999896399677,16,73,0.0010192920017288998,0.0014077919913688675,ok,,,,,,,,
low_treewidth,chain_n25,hybrid_lam0.01,hybrid,0.01,25,24,0.08,1.92,2,2,5,2.76,chain,mixed,1,2,0,16,1.2041199826559248,24,ok,0.0003880000003846362,16,73,0.001014749999740161,0.0014027500001247972,ok,,,,,,,,
low_treewidth,chain_n25,hybrid_lam0.05,hybrid,0.05,25,24,0.08,1.92,2,2,5,2.76,chain,mixed,1,2,0,16,1.2041199826559248,24,ok,0.00038537499494850636,16,73,0.0010157920041820034,0.0014011669991305098,ok,,,,,,,,
low_treewidth,chain_n25,hybrid_lam0.1,hybrid,0.1,25,24,0.08,1.92,2,2,5,2.76,chain,mixed,1,2,0,16,1.2041199826559248,24,ok,0.00038737499562557787,16,73,0.0010026249947259203,0.0013899999903514981,ok,,,,,,,,
low_treewidth,chain_n25,hybrid_lam0.5,hybrid,0.5,25,24,0.08,1.92,2,2,5,2.76,chain,mixed,1,2,0,16,1.2041199826559248,24,ok,0.00038329200469888747,16,73,0.0010039579938165843,0.0013872499985154718,ok,,,,,,,,
low_treewidth,chain_n25,hybrid_lam1,hybrid,1.0,25,24,0.08,1.92,2,2,5,2.76,chain,mixed,1,2,0,16,1.2041199826559248,24,ok,0.00038374999712686986,16,73,0.0010056669998448342,0.001389416996971704,ok,,,,,,,,
low_treewidth,chain_n25,hybrid_lam2,hybrid,2.0,25,24,0.08,1.92,2,2,5,2.76,chain,mixed,1,2,0,16,1.2041199826559248,24,ok,0.0003844170132651925,16,73,0.0010041250061476603,0.0013885420194128528,ok,,,,,,,,
low_treewidth,chain_n25,oracle_depth2,bounded_lookahead,,25,24,0.08,1.92,2,2,5,2.76,chain,mixed,1,2,0,16,1.2041199826559248,24,ok,0.00045891699846833944,16,73,0.10274050000589341,0.10319941700436175,ok,,,,,,,,
low_treewidth,chain_n50,min_degree,min_degree,,50,49,0.04,1.96,2,2,5,3.26,chain,mixed,1,2,0,25,1.3979400086720377,49,ok,0.0009066249913303182,25,148,0.0006863750022603199,0.001592999993590638,ok,,,,,,,,
low_treewidth,chain_n50,min_fill,min_fill,,50,49,0.04,1.96,2,2,5,3.26,chain,mixed,1,2,0,25,1.3979400086720377,49,ok,0.0008965409942902625,25,148,0.0012832089996663854,0.002179749993956648,ok,,,,,,,,
low_treewidth,chain_n50,weighted_min_fill,weighted_min_fill,,50,49,0.04,1.96,2,2,5,3.26,chain,mixed,1,2,0,25,1.3979400086720377,49,ok,0.0009235000034095719,25,148,0.0014785420062253252,0.002402042009634897,ok,,,,,,,,
low_treewidth,chain_n50,hybrid_lam0,hybrid,0.0,50,49,0.04,1.96,2,2,5,3.26,chain,mixed,1,2,0,25,1.3979400086720377,49,ok,0.0008927080052671954,25,148,0.003838459000689909,0.004731167005957104,ok,,,,,,,,
low_treewidth,chain_n50,hybrid_lam0.01,hybrid,0.01,50,49,0.04,1.96,2,2,5,3.26,chain,mixed,1,2,0,25,1.3979400086720377,49,ok,0.0009109999955398962,25,148,0.0038055000040913,0.004716499999631196,ok,,,,,,,,
low_treewidth,chain_n50,hybrid_lam0.05,hybrid,0.05,50,49,0.04,1.96,2,2,5,3.26,chain,mixed,1,2,0,25,1.3979400086720377,49,ok,0.000981958000920713,25,148,0.00392420899879653,0.004906166999717243,ok,,,,,,,,
low_treewidth,chain_n50,hybrid_lam0.1,hybrid,0.1,50,49,0.04,1.96,2,2,5,3.26,chain,mixed,1,2,0,25,1.3979400086720377,49,ok,0.000908499991055578,25,148,0.003902958007529378,0.004811457998584956,ok,,,,,,,,
